timestamp,temperature,throttling,count
2025-05-04T17:17:49.343,99.0,True,10
2025-05-04T17:17:51.568,97.0,True,20
2025-05-04T17:17:54.524,83.0,False,30
2025-05-04T17:17:57.658,82.0,False,40
2025-05-04T17:18:00.949,81.0,False,50
2025-05-04T17:18:04.024,82.0,False,60
2025-05-04T17:18:07.086,83.0,False,70
2025-05-04T17:18:10.142,82.0,False,80
2025-05-04T17:18:12.920,84.0,False,90
2025-05-04T17:18:15.980,83.0,False,100
2025-05-04T17:18:19.052,84.0,False,110
2025-05-04T17:18:21.881,84.0,False,120
2025-05-04T17:18:25.055,85.0,True,130
2025-05-04T17:18:28.179,85.0,True,140
2025-05-04T17:18:31.037,86.0,True,150
2025-05-04T17:18:34.028,84.0,False,160
2025-05-04T17:18:37.115,81.0,False,170
2025-05-04T17:18:39.810,85.0,True,180
2025-05-04T17:18:42.914,85.0,True,190
2025-05-04T17:18:46.027,85.0,True,200
2025-05-04T17:18:48.322,83.0,False,210
