timestamp,temperature,throttling,count
2025-05-04T17:21:59.439,98.0,True,10
2025-05-04T17:22:02.754,99.0,True,20
2025-05-04T17:22:05.956,100.0,True,30
2025-05-04T17:22:09.952,81.0,False,40
2025-05-04T17:22:14.948,82.0,False,50
2025-05-04T17:22:19.523,81.0,False,60
2025-05-04T17:22:24.284,81.0,False,70
2025-05-04T17:22:28.754,84.0,False,80
2025-05-04T17:22:33.983,83.0,False,90
2025-05-04T17:22:39.099,84.0,False,100
2025-05-04T17:22:44.343,81.0,False,110
2025-05-04T17:22:49.777,82.0,False,120
2025-05-04T17:22:54.419,81.0,False,130
2025-05-04T17:22:59.195,83.0,False,140
